단지코드,총세대수,임대건물구분,지역,공급유형,전용면적,전용면적별세대수,공가수,자격유형,임대보증금,임대료,지하철역,버스정류장,단지내주차면수,등록차량수,단지명,도로명주소,연면적,위도,경도,subway_name,subway_dist,환승역 수
C2515,545,아파트,경상남도,국민임대,39.6,20,17.0,A,12672000.0,107130.0,0.0,3.0,624.0,205.0,미수휴먼시아,경상남도 통영시 미우지해안로 107,1213.87,128.39650457033545,34.8242265414328,다대포해수욕장역,0.6117387352267959,1.0
C2515,545,아파트,경상남도,국민임대,46.9,38,17.0,A,18433000.0,149760.0,0.0,3.0,624.0,205.0,미수휴먼시아,경상남도 통영시 미우지해안로 107,1213.87,128.39650457033545,34.8242265414328,다대포해수욕장역,0.6117387352267959,1.0
C2515,545,아파트,경상남도,국민임대,46.9,19,17.0,A,18433000.0,149760.0,0.0,3.0,624.0,205.0,미수휴먼시아,경상남도 통영시 미우지해안로 107,1213.87,128.39650457033545,34.8242265414328,다대포해수욕장역,0.6117387352267959,1.0
C2515,545,아파트,경상남도,국민임대,51.97,106,17.0,A,23042000.0,190090.0,0.0,3.0,624.0,205.0,미수휴먼시아,경상남도 통영시 미우지해안로 107,1213.87,128.39650457033545,34.8242265414328,다대포해수욕장역,0.6117387352267959,1.0
C2515,545,아파트,경상남도,국민임대,51.97,26,17.0,A,23042000.0,190090.0,0.0,3.0,624.0,205.0,미수휴먼시아,경상남도 통영시 미우지해안로 107,1213.87,128.39650457033545,34.8242265414328,다대포해수욕장역,0.6117387352267959,1.0
C1407,1216,아파트,대전광역시,국민임대,30.95,288,13.0,A,15620000.0,127350.0,1.0,1.0,1285.0,1064.0,도안 휴먼시아 4단지,대전광역시 유성구 상대로 40,4636.41,127.337381950462,36.3465657238409,유성온천역,0.008228206461359284,1.0
C1407,1216,아파트,대전광역시,국민임대,30.99,68,13.0,A,15620000.0,127350.0,1.0,1.0,1285.0,1064.0,도안 휴먼시아 4단지,대전광역시 유성구 상대로 40,4636.41,127.337381950462,36.3465657238409,유성온천역,0.008228206461359284,1.0
C1407,1216,아파트,대전광역시,국민임대,30.99,34,13.0,A,15620000.0,127350.0,1.0,1.0,1285.0,1064.0,도안 휴먼시아 4단지,대전광역시 유성구 상대로 40,4636.41,127.337381950462,36.3465657238409,유성온천역,0.008228206461359284,1.0
C1407,1216,아파트,대전광역시,국민임대,41.11,148,13.0,A,27637000.0,164610.0,1.0,1.0,1285.0,1064.0,도안 휴먼시아 4단지,대전광역시 유성구 상대로 40,4636.41,127.337381950462,36.3465657238409,유성온천역,0.008228206461359284,1.0
C1407,1216,아파트,대전광역시,국민임대,41.39,74,13.0,A,27637000.0,164610.0,1.0,1.0,1285.0,1064.0,도안 휴먼시아 4단지,대전광역시 유성구 상대로 40,4636.41,127.337381950462,36.3465657238409,유성온천역,0.008228206461359284,1.0
C1407,1216,아파트,대전광역시,국민임대,41.58,70,13.0,A,27637000.0,164610.0,1.0,1.0,1285.0,1064.0,도안 휴먼시아 4단지,대전광역시 유성구 상대로 40,4636.41,127.337381950462,36.3465657238409,유성온천역,0.008228206461359284,1.0
C1407,1216,아파트,대전광역시,국민임대,41.58,70,13.0,A,27637000.0,164610.0,1.0,1.0,1285.0,1064.0,도안 휴먼시아 4단지,대전광역시 유성구 상대로 40,4636.41,127.337381950462,36.3465657238409,유성온천역,0.008228206461359284,1.0
C1407,1216,아파트,대전광역시,국민임대,46.36,170,13.0,A,36048000.0,198250.0,1.0,1.0,1285.0,1064.0,도안 휴먼시아 4단지,대전광역시 유성구 상대로 40,4636.41,127.337381950462,36.3465657238409,유성온천역,0.008228206461359284,1.0
C1407,1216,아파트,대전광역시,국민임대,46.36,170,13.0,A,36048000.0,198250.0,1.0,1.0,1285.0,1064.0,도안 휴먼시아 4단지,대전광역시 유성구 상대로 40,4636.41,127.337381950462,36.3465657238409,유성온천역,0.008228206461359284,1.0
C1407,1216,아파트,대전광역시,국민임대,51.24,62,13.0,A,42056000.0,253520.0,1.0,1.0,1285.0,1064.0,도안 휴먼시아 4단지,대전광역시 유성구 상대로 40,4636.41,127.337381950462,36.3465657238409,유성온천역,0.008228206461359284,1.0
C1407,1216,아파트,대전광역시,국민임대,51.24,62,13.0,A,42056000.0,253520.0,1.0,1.0,1285.0,1064.0,도안 휴먼시아 4단지,대전광역시 유성구 상대로 40,4636.41,127.337381950462,36.3465657238409,유성온천역,0.008228206461359284,1.0
C1945,755,아파트,경기도,국민임대,39.72,120,6.0,B,15607000.0,130070.0,1.0,3.0,734.0,730.0,호평마을 주공휴먼시아,경기도 남양주시 늘을3로 8,6017.76,127.24077274083449,37.65839027630814,평내호평역,0.0063432642224291545,1.0
C1945,755,아파트,경기도,국민임대,39.72,120,6.0,B,15607000.0,130070.0,1.0,3.0,734.0,730.0,호평마을 주공휴먼시아,경기도 남양주시 늘을3로 8,6017.76,127.24077274083449,37.65839027630814,평내호평역,0.0063432642224291545,1.0
C1945,755,아파트,경기도,국민임대,51.93,207,6.0,B,23139000.0,193230.0,1.0,3.0,734.0,730.0,호평마을 주공휴먼시아,경기도 남양주시 늘을3로 8,6017.76,127.24077274083449,37.65839027630814,평내호평역,0.0063432642224291545,1.0
C1945,755,아파트,경기도,국민임대,51.93,96,6.0,B,23139000.0,193230.0,1.0,3.0,734.0,730.0,호평마을 주공휴먼시아,경기도 남양주시 늘을3로 8,6017.76,127.24077274083449,37.65839027630814,평내호평역,0.0063432642224291545,1.0
C1945,755,아파트,경기도,국민임대,59.88,160,6.0,B,29209000.0,244020.0,1.0,3.0,734.0,730.0,호평마을 주공휴먼시아,경기도 남양주시 늘을3로 8,6017.76,127.24077274083449,37.65839027630814,평내호평역,0.0063432642224291545,1.0
C1945,755,아파트,경기도,국민임대,59.88,52,6.0,B,29209000.0,244020.0,1.0,3.0,734.0,730.0,호평마을 주공휴먼시아,경기도 남양주시 늘을3로 8,6017.76,127.24077274083449,37.65839027630814,평내호평역,0.0063432642224291545,1.0
C1470,696,아파트,전라북도,국민임대,36.55,228,14.0,A,12015000.0,102130.0,0.0,2.0,645.0,553.0,장신휴먼시아1단지,전라북도 익산시 오산면 선화로4길 66,6611.9,126.9311660050544,35.94671124015283,연산역,0.3784879111614233,2.0
C1470,696,아파트,전라북도,국민임대,36.55,26,14.0,A,12015000.0,102130.0,0.0,2.0,645.0,553.0,장신휴먼시아1단지,전라북도 익산시 오산면 선화로4길 66,6611.9,126.9311660050544,35.94671124015283,연산역,0.3784879111614233,2.0
C1470,696,아파트,전라북도,국민임대,46.9,196,14.0,A,21628000.0,132160.0,0.0,2.0,645.0,553.0,장신휴먼시아1단지,전라북도 익산시 오산면 선화로4길 66,6611.9,126.9311660050544,35.94671124015283,연산역,0.3784879111614233,2.0
C1470,696,아파트,전라북도,국민임대,51.93,246,14.0,A,25233000.0,144180.0,0.0,2.0,645.0,553.0,장신휴먼시아1단지,전라북도 익산시 오산면 선화로4길 66,6611.9,126.9311660050544,35.94671124015283,연산역,0.3784879111614233,2.0
C1898,566,아파트,전라북도,국민임대,36.55,230,9.0,A,12015000.0,102130.0,0.0,6.0,517.0,415.0,장신휴먼시아2단지,전라북도 익산시 오산면 선화로4길 24-9,6749.2,126.931972402425,35.9485646523394,연산역,0.37661352954180605,2.0
C1898,566,아파트,전라북도,국민임대,36.55,28,9.0,A,12015000.0,102130.0,0.0,6.0,517.0,415.0,장신휴먼시아2단지,전라북도 익산시 오산면 선화로4길 24-9,6749.2,126.931972402425,35.9485646523394,연산역,0.37661352954180605,2.0
C1898,566,아파트,전라북도,국민임대,36.62,13,9.0,A,12015000.0,102130.0,0.0,6.0,517.0,415.0,장신휴먼시아2단지,전라북도 익산시 오산면 선화로4길 24-9,6749.2,126.931972402425,35.9485646523394,연산역,0.37661352954180605,2.0
C1898,566,아파트,전라북도,국민임대,46.9,194,9.0,A,21628000.0,132160.0,0.0,6.0,517.0,415.0,장신휴먼시아2단지,전라북도 익산시 오산면 선화로4길 24-9,6749.2,126.931972402425,35.9485646523394,연산역,0.37661352954180605,2.0
C1898,566,아파트,전라북도,국민임대,46.9,15,9.0,A,21628000.0,132160.0,0.0,6.0,517.0,415.0,장신휴먼시아2단지,전라북도 익산시 오산면 선화로4길 24-9,6749.2,126.931972402425,35.9485646523394,연산역,0.37661352954180605,2.0
C1898,566,아파트,전라북도,국민임대,51.93,86,9.0,A,25233000.0,144180.0,0.0,6.0,517.0,415.0,장신휴먼시아2단지,전라북도 익산시 오산면 선화로4길 24-9,6749.2,126.931972402425,35.9485646523394,연산역,0.37661352954180605,2.0
C1244,1722,아파트,경기도,국민임대,39.62,275,10.0,A,29551000.0,203030.0,0.0,10.0,1483.0,1804.0,백현마을 3단지,경기도 성남시 분당구 동판교로 92,3320.18,127.117716491702,37.3898939851789,서현역,0.007514081304020033,1.0
C1244,1722,아파트,경기도,국민임대,39.62,126,10.0,A,29551000.0,203030.0,0.0,10.0,1483.0,1804.0,백현마을 3단지,경기도 성남시 분당구 동판교로 92,3320.18,127.117716491702,37.3898939851789,서현역,0.007514081304020033,1.0
C1244,1722,아파트,경기도,국민임대,39.62,168,10.0,A,29551000.0,203030.0,0.0,10.0,1483.0,1804.0,백현마을 3단지,경기도 성남시 분당구 동판교로 92,3320.18,127.117716491702,37.3898939851789,서현역,0.007514081304020033,1.0
C1244,1722,아파트,경기도,국민임대,39.72,219,10.0,A,29551000.0,203030.0,0.0,10.0,1483.0,1804.0,백현마을 3단지,경기도 성남시 분당구 동판교로 92,3320.18,127.117716491702,37.3898939851789,서현역,0.007514081304020033,1.0
C1244,1722,아파트,경기도,국민임대,46.73,98,10.0,A,43990000.0,304540.0,0.0,10.0,1483.0,1804.0,백현마을 3단지,경기도 성남시 분당구 동판교로 92,3320.18,127.117716491702,37.3898939851789,서현역,0.007514081304020033,1.0
C1244,1722,아파트,경기도,국민임대,46.81,144,10.0,A,43990000.0,304540.0,0.0,10.0,1483.0,1804.0,백현마을 3단지,경기도 성남시 분당구 동판교로 92,3320.18,127.117716491702,37.3898939851789,서현역,0.007514081304020033,1.0
C1244,1722,아파트,경기도,국민임대,46.81,76,10.0,A,43990000.0,304540.0,0.0,10.0,1483.0,1804.0,백현마을 3단지,경기도 성남시 분당구 동판교로 92,3320.18,127.117716491702,37.3898939851789,서현역,0.007514081304020033,1.0
C1244,1722,아파트,경기도,국민임대,46.81,76,10.0,A,43990000.0,304540.0,0.0,10.0,1483.0,1804.0,백현마을 3단지,경기도 성남시 분당구 동판교로 92,3320.18,127.117716491702,37.3898939851789,서현역,0.007514081304020033,1.0
C1244,1722,아파트,경기도,국민임대,46.95,75,10.0,A,43990000.0,304540.0,0.0,10.0,1483.0,1804.0,백현마을 3단지,경기도 성남시 분당구 동판교로 92,3320.18,127.117716491702,37.3898939851789,서현역,0.007514081304020033,1.0
C1244,1722,아파트,경기도,국민임대,46.95,75,10.0,A,43990000.0,304540.0,0.0,10.0,1483.0,1804.0,백현마을 3단지,경기도 성남시 분당구 동판교로 92,3320.18,127.117716491702,37.3898939851789,서현역,0.007514081304020033,1.0
C1244,1722,아파트,경기도,국민임대,51.78,232,10.0,A,49854000.0,338380.0,0.0,10.0,1483.0,1804.0,백현마을 3단지,경기도 성남시 분당구 동판교로 92,3320.18,127.117716491702,37.3898939851789,서현역,0.007514081304020033,1.0
C1244,1722,아파트,경기도,국민임대,51.78,83,10.0,A,49854000.0,338380.0,0.0,10.0,1483.0,1804.0,백현마을 3단지,경기도 성남시 분당구 동판교로 92,3320.18,127.117716491702,37.3898939851789,서현역,0.007514081304020033,1.0
C1244,1722,아파트,경기도,국민임대,51.95,75,10.0,A,49854000.0,338380.0,0.0,10.0,1483.0,1804.0,백현마을 3단지,경기도 성남시 분당구 동판교로 92,3320.18,127.117716491702,37.3898939851789,서현역,0.007514081304020033,1.0
C1171,624,아파트,대전광역시,국민임대,33.38,190,13.0,A,17730000.0,118190.0,0.0,5.0,634.0,700.0,LH대전노은3지구4단지,대전광역시 유성구 지족로148번길 40,4595.19,127.305031093423,36.3771989186989,노은역,0.013210357877316793,1.0
C1171,624,아파트,대전광역시,국민임대,39.46,106,13.0,A,23641000.0,141840.0,0.0,5.0,634.0,700.0,LH대전노은3지구4단지,대전광역시 유성구 지족로148번길 40,4595.19,127.305031093423,36.3771989186989,노은역,0.013210357877316793,1.0
C1171,624,아파트,대전광역시,국민임대,39.46,43,13.0,A,23641000.0,141840.0,0.0,5.0,634.0,700.0,LH대전노은3지구4단지,대전광역시 유성구 지족로148번길 40,4595.19,127.305031093423,36.3771989186989,노은역,0.013210357877316793,1.0
C1171,624,아파트,대전광역시,국민임대,39.46,15,13.0,A,23641000.0,141840.0,0.0,5.0,634.0,700.0,LH대전노은3지구4단지,대전광역시 유성구 지족로148번길 40,4595.19,127.305031093423,36.3771989186989,노은역,0.013210357877316793,1.0
C1171,624,아파트,대전광역시,국민임대,46.66,38,13.0,A,35462000.0,189130.0,0.0,5.0,634.0,700.0,LH대전노은3지구4단지,대전광역시 유성구 지족로148번길 40,4595.19,127.305031093423,36.3771989186989,노은역,0.013210357877316793,1.0
C1171,624,아파트,대전광역시,국민임대,46.66,15,13.0,A,35462000.0,189130.0,0.0,5.0,634.0,700.0,LH대전노은3지구4단지,대전광역시 유성구 지족로148번길 40,4595.19,127.305031093423,36.3771989186989,노은역,0.013210357877316793,1.0
C1171,624,아파트,대전광역시,국민임대,46.87,46,13.0,A,35462000.0,189130.0,0.0,5.0,634.0,700.0,LH대전노은3지구4단지,대전광역시 유성구 지족로148번길 40,4595.19,127.305031093423,36.3771989186989,노은역,0.013210357877316793,1.0
C1171,624,아파트,대전광역시,국민임대,46.87,23,13.0,A,35462000.0,189130.0,0.0,5.0,634.0,700.0,LH대전노은3지구4단지,대전광역시 유성구 지족로148번길 40,4595.19,127.305031093423,36.3771989186989,노은역,0.013210357877316793,1.0
C1171,624,아파트,대전광역시,국민임대,46.88,78,13.0,A,35462000.0,189130.0,0.0,5.0,634.0,700.0,LH대전노은3지구4단지,대전광역시 유성구 지족로148번길 40,4595.19,127.305031093423,36.3771989186989,노은역,0.013210357877316793,1.0
C1171,624,아파트,대전광역시,국민임대,46.88,30,13.0,A,35462000.0,189130.0,0.0,5.0,634.0,700.0,LH대전노은3지구4단지,대전광역시 유성구 지족로148번길 40,4595.19,127.305031093423,36.3771989186989,노은역,0.013210357877316793,1.0
C1171,624,아파트,대전광역시,국민임대,51.96,20,13.0,A,41372000.0,236410.0,0.0,5.0,634.0,700.0,LH대전노은3지구4단지,대전광역시 유성구 지족로148번길 40,4595.19,127.305031093423,36.3771989186989,노은역,0.013210357877316793,1.0
C1171,624,아파트,대전광역시,국민임대,51.96,20,13.0,A,41372000.0,236410.0,0.0,5.0,634.0,700.0,LH대전노은3지구4단지,대전광역시 유성구 지족로148번길 40,4595.19,127.305031093423,36.3771989186989,노은역,0.013210357877316793,1.0
C2073,361,아파트,강원도,국민임대,39.63,94,13.0,A,10813000.0,144180.0,0.0,5.0,288.0,301.0,횡성휴먼시아,강원도 횡성군 횡성읍 앞들서2로 34,2768.614,127.981035991168,37.4882886027589,지평역,0.35155006711194925,1.0
C2073,361,아파트,강원도,국민임대,39.63,74,13.0,A,10813000.0,144180.0,0.0,5.0,288.0,301.0,횡성휴먼시아,강원도 횡성군 횡성읍 앞들서2로 34,2768.614,127.981035991168,37.4882886027589,지평역,0.35155006711194925,1.0
C2073,361,아파트,강원도,국민임대,46.9,97,13.0,A,16821000.0,205460.0,0.0,5.0,288.0,301.0,횡성휴먼시아,강원도 횡성군 횡성읍 앞들서2로 34,2768.614,127.981035991168,37.4882886027589,지평역,0.35155006711194925,1.0
C2073,361,아파트,강원도,국민임대,46.9,46,13.0,A,16821000.0,205460.0,0.0,5.0,288.0,301.0,횡성휴먼시아,강원도 횡성군 횡성읍 앞들서2로 34,2768.614,127.981035991168,37.4882886027589,지평역,0.35155006711194925,1.0
C2073,361,아파트,강원도,국민임대,46.96,10,13.0,A,16821000.0,205460.0,0.0,5.0,288.0,301.0,횡성휴먼시아,강원도 횡성군 횡성읍 앞들서2로 34,2768.614,127.981035991168,37.4882886027589,지평역,0.35155006711194925,1.0
C2073,361,아파트,강원도,국민임대,59.89,40,13.0,A,25233000.0,283560.0,0.0,5.0,288.0,301.0,횡성휴먼시아,강원도 횡성군 횡성읍 앞들서2로 34,2768.614,127.981035991168,37.4882886027589,지평역,0.35155006711194925,1.0
C2513,754,아파트,광주광역시,국민임대,51.88,517,15.0,A,32443000.0,192250.0,0.0,6.0,530.0,820.0,광주백운 휴먼시아3단지,광주광역시 남구 백운로 100,913.34,126.90695231720612,35.141552996216745,금남로4가역,0.011895342582411548,1.0
C2513,754,아파트,광주광역시,국민임대,51.88,179,15.0,A,32443000.0,192250.0,0.0,6.0,530.0,820.0,광주백운 휴먼시아3단지,광주광역시 남구 백운로 100,913.34,126.90695231720612,35.141552996216745,금남로4가역,0.011895342582411548,1.0
C2513,754,아파트,광주광역시,국민임대,51.93,58,15.0,A,32443000.0,192250.0,0.0,6.0,530.0,820.0,광주백운 휴먼시아3단지,광주광역시 남구 백운로 100,913.34,126.90695231720612,35.141552996216745,금남로4가역,0.011895342582411548,1.0
C1936,240,아파트,광주광역시,국민임대,51.88,120,8.0,A,32443000.0,192250.0,0.0,10.0,168.0,234.0,광주백운 휴먼시아2단지,광주광역시 남구 독립로80번길 8,529.44,126.902822600905,35.1401129837952,돌고개역,0.01398881895479593,1.0
C1936,240,아파트,광주광역시,국민임대,51.88,60,8.0,A,32443000.0,192250.0,0.0,10.0,168.0,234.0,광주백운 휴먼시아2단지,광주광역시 남구 독립로80번길 8,529.44,126.902822600905,35.1401129837952,돌고개역,0.01398881895479593,1.0
C1936,240,아파트,광주광역시,국민임대,51.88,20,8.0,A,32443000.0,192250.0,0.0,10.0,168.0,234.0,광주백운 휴먼시아2단지,광주광역시 남구 독립로80번길 8,529.44,126.902822600905,35.1401129837952,돌고개역,0.01398881895479593,1.0
C1936,240,아파트,광주광역시,국민임대,51.93,40,8.0,A,32443000.0,192250.0,0.0,10.0,168.0,234.0,광주백운 휴먼시아2단지,광주광역시 남구 독립로80번길 8,529.44,126.902822600905,35.1401129837952,돌고개역,0.01398881895479593,1.0
C2049,688,아파트,강원도,국민임대,51.49,178,0.0,A,15271000.0,78230.0,0.0,5.0,631.0,841.0,강릉교동 주공2차아파트,강원도 강릉시 가작로 85,6374.996,128.88563180131382,37.76945080486319,신기역,0.46809080935574665,1.0
C2049,688,아파트,강원도,국민임대,51.95,360,0.0,A,15407000.0,88400.0,0.0,5.0,631.0,841.0,강릉교동 주공2차아파트,강원도 강릉시 가작로 85,6374.996,128.88563180131382,37.76945080486319,신기역,0.46809080935574665,1.0
C2049,688,아파트,강원도,국민임대,59.64,150,0.0,A,17687000.0,100260.0,0.0,5.0,631.0,841.0,강릉교동 주공2차아파트,강원도 강릉시 가작로 85,6374.996,128.88563180131382,37.76945080486319,신기역,0.46809080935574665,1.0
C2202,623,아파트,강원도,공공임대(50년),37.67,89,0.0,A,9714000.0,145940.0,0.0,2.0,222.0,226.0,강릉송정주공아파트,강원도 강릉시 하평길 55,849.68,128.9153581539591,37.77048643738398,신기역,0.4571851480111402,1.0
C2202,623,아파트,강원도,공공임대(50년),42.9,354,0.0,A,10244000.0,152280.0,0.0,2.0,222.0,226.0,강릉송정주공아파트,강원도 강릉시 하평길 55,849.68,128.9153581539591,37.77048643738398,신기역,0.4571851480111402,1.0
C2202,623,아파트,강원도,공공임대(50년),49.44,180,0.0,A,11807000.0,171230.0,0.0,2.0,222.0,226.0,강릉송정주공아파트,강원도 강릉시 하평길 55,849.68,128.9153581539591,37.77048643738398,신기역,0.4571851480111402,1.0
C1925,601,아파트,강원도,영구임대,26.37,298,9.0,C,8052000.0,130850.0,0.0,4.0,117.0,75.0,입암주공3단지아파트,강원도 강릉시 강변로 510,6730.06,128.917042175361,37.7648143932297,신기역,0.45129348042721124,1.0
C1925,601,아파트,강원도,영구임대,31.32,298,9.0,C,9174000.0,144460.0,0.0,4.0,117.0,75.0,입암주공3단지아파트,강원도 강릉시 강변로 510,6730.06,128.917042175361,37.7648143932297,신기역,0.45129348042721124,1.0
C2576,405,아파트,경상남도,국민임대,46.9,313,19.0,A,19436000.0,161780.0,0.0,4.0,296.0,73.0,거제장평 주공3단지아파트,경상남도 거제시 장평2로 36,24.13,128.608327564331,34.8860843303134,다대포해수욕장역,0.3924831603182584,1.0
C2576,405,아파트,경상남도,국민임대,59.88,92,19.0,A,28252000.0,235420.0,0.0,4.0,296.0,73.0,거제장평 주공3단지아파트,경상남도 거제시 장평2로 36,24.13,128.608327564331,34.8860843303134,다대포해수욕장역,0.3924831603182584,1.0
C1312,518,아파트,충청남도,국민임대,39.72,60,12.0,A,17460000.0,122210.0,0.0,3.0,527.0,359.0,석문국가산단 2단지,충청남도 당진시 석문면 해명1로 200,108.54,126.58847878766244,36.98098165179281,신길온천역,0.39883866193393097,1.0
C1312,518,아파트,충청남도,국민임대,39.98,89,12.0,A,17460000.0,122210.0,0.0,3.0,527.0,359.0,석문국가산단 2단지,충청남도 당진시 석문면 해명1로 200,108.54,126.58847878766244,36.98098165179281,신길온천역,0.39883866193393097,1.0
C1312,518,아파트,충청남도,국민임대,41.55,225,12.0,A,19954000.0,130940.0,0.0,3.0,527.0,359.0,석문국가산단 2단지,충청남도 당진시 석문면 해명1로 200,108.54,126.58847878766244,36.98098165179281,신길온천역,0.39883866193393097,1.0
C1312,518,아파트,충청남도,국민임대,46.9,143,12.0,A,28687000.0,149660.0,0.0,3.0,527.0,359.0,석문국가산단 2단지,충청남도 당진시 석문면 해명1로 200,108.54,126.58847878766244,36.98098165179281,신길온천역,0.39883866193393097,1.0
C1874,619,아파트,충청남도,영구임대,26.37,294,2.0,C,3141000.0,69900.0,0.0,2.0,97.0,62.0,공주옥룡주공1차아파트,충청남도 공주시 우금티로 709-12,1237.9,127.134080250622,36.4481793066215,반석역,0.18896303686688043,1.0
C1874,619,아파트,충청남도,영구임대,26.37,149,2.0,C,3141000.0,69900.0,0.0,2.0,97.0,62.0,공주옥룡주공1차아파트,충청남도 공주시 우금티로 709-12,1237.9,127.134080250622,36.4481793066215,반석역,0.18896303686688043,1.0
C1874,619,아파트,충청남도,영구임대,31.32,149,2.0,C,3731000.0,83020.0,0.0,2.0,97.0,62.0,공주옥룡주공1차아파트,충청남도 공주시 우금티로 709-12,1237.9,127.134080250622,36.4481793066215,반석역,0.18896303686688043,1.0
C2650,875,아파트,부산광역시,국민임대,36.44,557,13.0,A,11492000.0,104930.0,0.0,4.0,616.0,159.0,기장교리 주공아파트,부산광역시 기장군 기장읍 차성로397번길 7,307.977,129.21290213879686,35.25432472707646,기장역,0.011250593914145702,1.0
C2650,875,아파트,부산광역시,국민임대,45.09,20,13.0,A,14215000.0,141630.0,0.0,4.0,616.0,159.0,기장교리 주공아파트,부산광역시 기장군 기장읍 차성로397번길 7,307.977,129.21290213879686,35.25432472707646,기장역,0.011250593914145702,1.0
C2650,875,아파트,부산광역시,국민임대,45.32,298,13.0,A,14292000.0,141630.0,0.0,4.0,616.0,159.0,기장교리 주공아파트,부산광역시 기장군 기장읍 차성로397번길 7,307.977,129.21290213879686,35.25432472707646,기장역,0.011250593914145702,1.0
C2416,560,아파트,경상남도,영구임대,26.34,360,0.0,C,3138000.0,69820.0,0.0,5.0,154.0,63.0,김해구산주공1단지아파트,경상남도 김해시 가락로 222,1174.25,128.87624540581,35.2461443032142,박물관역,0.007485408504499865,1.0
C2416,560,아파트,경상남도,영구임대,30.48,192,0.0,C,3631000.0,80800.0,0.0,5.0,154.0,63.0,김해구산주공1단지아파트,경상남도 김해시 가락로 222,1174.25,128.87624540581,35.2461443032142,박물관역,0.007485408504499865,1.0
C2013,595,아파트,경상남도,국민임대,36.02,90,3.0,A,13930000.0,37360.0,0.0,3.0,509.0,91.0,젤미마을 주공2단지,경상남도 김해시 능동로 76,3368.84,128.802133835456,35.197495878045,봉황역,0.07805112046396712,1.0
C2013,595,아파트,경상남도,국민임대,36.38,237,3.0,A,13930000.0,37360.0,0.0,3.0,509.0,91.0,젤미마을 주공2단지,경상남도 김해시 능동로 76,3368.84,128.802133835456,35.197495878045,봉황역,0.07805112046396712,1.0
C2013,595,아파트,경상남도,국민임대,45.88,267,3.0,A,17568000.0,45180.0,0.0,3.0,509.0,91.0,젤미마을 주공2단지,경상남도 김해시 능동로 76,3368.84,128.802133835456,35.197495878045,봉황역,0.07805112046396712,1.0
C1424,625,아파트,대전광역시,공공임대(50년),39.99,268,2.0,A,14247000.0,198980.0,1.0,7.0,517.0,179.0,구봉마을8-2단지,대전광역시 서구 관저로 84,8597.232,127.33083559370898,36.29688931630358,유성온천역,0.05781298501266375,1.0
